doc_id,question
0,What is the correct starting position for a push-up?
0,How low should I go during a push-up?
0,Which muscle groups are primarily targeted by push-ups?
0,Can push-ups be modified for beginners?
0,How can I ensure proper form while performing push-ups?
1,What is the proper stance for performing squats?
1,How do I ensure my form is correct while lowering my body?
1,Which muscle groups are primarily targeted during squats?
1,Can squats be performed without any equipment?
1,What should I do if I feel discomfort while doing squats?
2,What is the proper starting position for a plank exercise?
2,How should I align my elbows and shoulders during a plank?
2,What is the main muscle group targeted when performing a plank?
2,How can I maintain a straight line from head to heels while holding the plank?
2,What type of exercise is the plank classified as?
3,What is the proper stance for performing a deadlift with a barbell?
3,"How do I grip the barbell for a deadlift, and how wide should my hands be?"
3,What muscles are primarily targeted when executing the deadlift?
3,Can you explain the correct technique for lifting the barbell in a deadlift?
3,What are some common mistakes to avoid when performing a deadlift?
4,What is the correct stance for performing bicep curls with dumbbells?
4,How should I position my elbows during the bicep curl exercise?
4,What should I do if I find the weights too heavy for my bicep curls?
4,How many sets and repetitions should I aim for when doing bicep curls?
4,Can you provide tips on maintaining proper form while performing bicep curls?
5,What is the correct stance for performing a kettlebell swing?
5,How do I initiate the kettlebell swing movement?
5,Which muscle groups are primarily activated during kettlebell swings?
5,What is the recommended height to swing the kettlebell?
5,How do I ensure proper form during the kettlebell swing exercise?
6,What muscles are primarily targeted by the Shoulder Press exercise?
6,Can you explain the proper form for performing the Shoulder Press with dumbbells?
6,How can I ensure I'm lifting the correct weight for the Shoulder Press?
6,What are some common mistakes to avoid when doing the Shoulder Press?
6,How often should I do the Shoulder Press to see improvements in strength?
7,What is the proper grip width for the lat pulldown exercise?
7,How do I correctly position myself on the lat pulldown machine?
7,What are the main muscles targeted during the lat pulldown?
7,Is it better to pull the bar to my chest or my neck?
7,How should I control the movement of the bar during the exercise?
8,What is the correct position for my body when performing the hamstring stretch?
8,How long should I hold the hamstring stretch for maximum benefit?
8,Is it necessary to warm up before doing the hamstring stretch?
8,Can I perform the hamstring stretch on the floor instead of using a bench?
8,What should I do if I feel pain instead of a stretch during the exercise?
